SAMPLE_ID,Study_ID,Latitude,Longitude,Species,RiverSystem,COMPOUND,UNIT,CONC_FOUND (ng/g ww),Sampling Date,% Lipids,pcb_uggwet,pcb_ugglw_sample,pcb_ugglw_1,effect-mort ww,effect-mort lipid-sample specific,effect-mort lipid - 1%,Composite_Count
21RP03-TW_H01,WDFW_LEGACY 2021,47.219736,-122.3515433,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.2,6/24/2021,0.95,0.0082,0.863157895,0.82,-29.08471386,-13.94240554,-14.43471386,4
21CBC02-TW_W01,WDFW_LEGACY 2021,47.26226,-122.43579,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,4/23/2021,1.3,0.011,0.846153846,1.1,-26.26522166,-14.13336974,-11.61522166,2
16PU-TW_Dfp04r2,WDFW_LEGACY 2016,47.268333,-122.422767,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),16,4/26/2016,1.948883023,0.016,0.820983087,1.6,-22.66894838,-14.42321396,-8.018948383,5
16PU-TW_Dfp04r1,WDFW_LEGACY 2016,47.268333,-122.422767,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),20,4/5/2016,2.450443964,0.02,0.816178631,2,-20.5272371,-14.47954664,-5.877237096,5
21RP01-TW_W03,WDFW_LEGACY 2021,47.116147,-122.078457,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,5/25/2021,1.6,0.013,0.8125,1.3,-24.66185191,-14.52290353,-10.01185191,2
21RW01-TW_W02,WDFW_LEGACY 2021,47.1568,-121.653061,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,5/17/2021,1.6,0.013,0.8125,1.3,-24.66185191,-14.52290353,-10.01185191,6
21WTH02-TW_H02,WDFW_LEGACY 2021,47.25135,-122.42767,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),19,4/23/2021,2.5,0.019,0.76,1.9,-21.01954542,-15.16401961,-6.369545419,4
21CBW03-TW_H01,WDFW_LEGACY 2021,47.281889,-122.4792224,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.7,5/20/2021,1.3,0.0097,0.746153846,0.97,-27.47234467,-15.34049276,-12.82234467,5
21WHY02-TW_W01,WDFW_LEGACY 2021,47.2732085,-122.3828735,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),14,6/28/2021,1.9,0.014,0.736842105,1.4,-23.95057041,-15.46102499,-9.300570412,2
13HYLE2-TW01,WDFW_LEGACY 2013,47.27186,-122.45245,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),22,6/13/2013,3.031163888,0.022,0.725793814,2.2,-19.61245875,-15.6060269,-4.962458754,7
13HYLE1-TW02,WDFW_LEGACY 2013,47.29479,-122.42087,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),25,6/12/2013,3.590595686,0.025,0.6962633,2.5,-18.38552581,-16.00470556,-3.735525808,6
13HYLE1-TW01,WDFW_LEGACY 2013,47.29479,-122.42087,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),23,6/12/2013,3.311276345,0.023,0.69459621,2.3,-19.18581482,-16.02771375,-4.535814824,6
16PU-TW_Dfp04r3,WDFW_LEGACY 2016,47.268333,-122.422767,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),17,4/5/2016,2.520739793,0.017,0.67440519,1.7,-22.08707884,-16.31084802,-7.437078838,5
21RW02-TW_W03,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5/7/2021,1.5,0.01,0.666666667,1,-27.18,-16.42161683,-12.53,8
21WTH01-TW_H03,WDFW_LEGACY 2021,47.241858,-122.431739,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),14,6/4/2021,2.1,0.014,0.666666667,1.4,-23.95057041,-16.42161683,-9.300570412,3
21RP03-TW_W03,WDFW_LEGACY 2021,47.219444,-122.350833,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,5/5/2021,1.8,0.012,0.666666667,1.2,-25.43009446,-16.42161683,-10.78009446,6
